fineAGE,Left.Cerebellum.White.Matter,Left.Cerebellum.Cortex,Left.Thalamus.Proper,Left.Caudate,Left.Putamen,Left.Pallidum,Left.Hippocampus,Left.Amygdala,Left.Accumbens.area,Left.VentralDC,Right.Cerebellum.White.Matter,Right.Cerebellum.Cortex,Right.Thalamus.Proper,Right.Caudate,Right.Putamen,Right.Pallidum,Right.Hippocampus,Right.Amygdala,Right.Accumbens.area,Right.VentralDC
5.25,9.277365806391304,43.47700809464287,5.889603632114867,2.714635707347234,4.456027028851334,1.3216333983906803,2.8467512668320363,0.9449509997965214,0.744039877916651,2.9027430324670767,8.715866261707745,42.76393289779016,5.733243496487571,3.086034074818197,4.522631647954638,1.3745691162173042,3.0001044247440785,1.0843615452213666,0.6063219399943482,3.001421041874265
5.33,9.311680794434613,43.482735668716074,5.894460302165651,2.723516643401265,4.468671212362272,1.3301411605383833,2.854065307926933,0.9481237111067519,0.7406013574033309,2.90083797296562,8.750336261797848,42.753302590823935,5.7347976089501556,3.091623694237715,4.532674951469958,1.3799161185563928,3.0051844609569764,1.0844345795546102,0.6048473839834426,2.9949738534034935
5.42,9.351388108547077,43.495365789546454,5.900851286360188,2.7343399163016797,4.483496168553599,1.3400113666681888,2.862711823734096,0.9518268218115628,0.7364855623491808,2.8987172819077576,8.790374903658167,42.74690127449977,5.737257786527236,3.0984451084450524,4.544317636180969,1.3860889277147044,3.0111456719975416,1.0845756906650392,0.6030525940812174,2.9874925544447
5.5,9.387663901148153,43.51209176361615,5.907356365988581,2.7447003542928297,4.497207462716132,1.3490506376401397,2.870769366296378,0.9552374184209962,0.7326071138773453,2.896852223973015,8.827084711319744,42.746151463556366,5.740077323090573,3.1049824476163566,4.554972438818557,1.3917158083237253,3.0166633443012043,1.0847535205281138,0.6013364124881668,2.980639655877615
5.58,9.424862425305825,43.53399345533125,5.914637167771141,2.7557570284896826,4.511420926597061,1.3583400304117363,2.879176791902135,0.9587599610535837,0.7285216404838555,2.895005990304961,8.864848546073778,42.75005129780017,5.7434923533483815,3.111965772553207,4.565915005748975,1.3974743963538907,3.0223869630005202,1.0849806659346377,0.5995065247388126,2.9735958349122646
5.67,9.467813717546951,43.56481945850876,5.923755300163927,2.76902800680077,4.528011323204629,1.369089570993422,2.8890533652840165,0.9628566319960464,0.7236780234395146,2.8929514783096772,8.908592751931023,42.75999639033729,5.74804606344509,3.1203551054675436,4.578569361801972,1.404110239414664,3.029072204338306,1.0852951520025071,0.5973119866308326,2.9654433243970693
5.75,9.50697304626239,43.59771955022035,5.932684511524096,2.7815641829347415,4.543291897737152,1.3789104725892667,2.898204292357159,0.9666170599278371,0.7191526220875094,2.891145246208337,8.948596394256535,42.77377672060393,5.75272651780365,3.1282861501561796,4.590123427854659,1.410148705714762,3.0352334591283863,1.085627092938862,0.5952404732993335,2.957993793335405
5.83,9.547055106534424,43.63579535957734,5.942389445038434,2.794796595274415,4.559074641988074,1.3889814959847573,2.9077051024737774,0.9704894338827819,0.7144201958138499,2.889357838373686,8.989654063674505,42.79220669605777,5.758002465856682,3.1366631806103626,4.6019652582001775,1.4163188794360044,3.041600660314121,1.0860083494186665,0.5930552538115308,2.9503533398754755
5.92,9.593250376904209,43.68481724510198,5.954234725629468,2.8105152789961765,4.577430479011881,1.4006103710183235,2.918811733430377,0.9749796650628964,0.7088487567793181,2.8873695054409803,9.037103833528676,42.81849819745617,5.7646497084730175,3.1466204322316984,4.6156312855951604,1.4234177563992392,3.049009931949127,1.0864962104439764,0.5904609674977963,2.9415296178038783
6,9.635293241734011,43.73389145445546,5.965588068721414,2.8252271932729687,4.594280333914397,1.4112129032380618,2.9290560450143803,0.9790899243170441,0.7036764025471431,2.8856220991730432,9.080401310518122,42.84680866893283,5.771191080626802,3.1559451824376676,4.628084615062947,1.4298678083904142,3.0558147692256257,1.0869822624536116,0.5880341224278485,2.933483454247636
